Kunta,C,100;Mjtunnus,N,10,0;Kohdenimi,C,100;Ajoitus,C,254;Tyyppi,C,100;Alatyyppi,C,100;Laji,C,100;I,N,31,15;P,N,31,15;Paikannust,N,10,0;Paikannu00,N,10,0;Selite,C,254;Tuhoutunut,C,100;Luontipvm,D;Muutospvm,D;Zala,N,14,2;Zylä,N,14,2;Vedenalain,C,1
Asikkala;1000023911;Linkinpohja 2;historiallinen;alusten hylyt;hylyt (puu);poistettu kiinteä muinaisjäännös (ei rauhoitettu);425478;6782973;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;08.10.14;;0.00;0.00;k
Asikkala;2069;Linkinpohja 1;historiallinen;alusten hylyt;hylyt (puu);muu kohde;425494;6782963;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;08.10.14;;0.00;0.00;k
Helsinki;1310;Villinki Pukkiluoto 1;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;394695;6670028;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;02.04.12;;0.00;0.00;k
Kouvola;1000023989;Riihijärvi;;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;479810;6778879;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;14.10.14;;0.00;0.00;k
Raasepori;1436;Est;historiallinen;alusten hylyt;hylyt (metalli);muu kulttuuriperintökohde;324577;6641691;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;06.08.14;;0.00;0.00;k
Rantasalmi;1000019275;Hiekonselkä Vaahersalo;;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;578004;6877304;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;11.11.11;;0.00;0.00;k
Lappeenranta;1000019269;Kivisalmi;historiallinen;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;562182;6773761;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;10.11.11;;0.00;0.00;k
Tohmajärvi;1000024920;Liippilampi;;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;696201;6911134;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;09.12.14;;0.00;0.00;k
Sipoo;1009;Stora Munkholmen länsipuoli;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;406227;6676857;11002;0;Paikannus merimuseolla tehdyn 29.10.1993 suullisen tiedonannon mukaan.;Ei;16.10.01;16.02.18;0.00;0.00;k
Närpiö;1000019163;Gåshällan Långbådan;;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;194443;6952049;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;05.10.11;;0.00;0.00;k
Padasjoki;1000029067;Harmoistenlahti;historiallinen;alusten hylyt;hylyt (puu);muu kohde;404315;6816207;0;0;;Ei;07.11.16;;0.00;0.00;k
Sipoo;1014;Asplandetin hylky;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;403760.205;6670762.635;11002;0;paikannettu Sukeltajat ry 1994 kartan avulla;Ei;17.10.01;28.01.11;0.00;0.00;k
Sipoo;1007;Stora Korpholmen 1;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;407818.549;6675242.848;11002;0;paikannettu Sukeltajat ry:n kartan mukaan;Ei;16.10.01;28.01.11;0.00;0.00;k
Sipoo;1015;Eestiluoto 1;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;400600.497;6667091.096;11002;0;paikannettu Sukeltajat ry. 1994 kartan avulla;Ei;17.10.01;28.01.11;0.00;0.00;k
Kirkkonummi;1225;Pampskatan 1;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;354767.01;6650709.452;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;16.11.10;28.01.11;6650710.00;354768.00;k
Helsinki;1000028731;Vallisaari itäranta;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;389463;6668276;0;0;;Ei;25.08.16;;0.00;0.00;k
Inkoo;2584;Bastö länsipuoli 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;329431;6649491;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;22.07.13;;0.00;0.00;k
Tornio;1000022470;Kiikkarankrunni;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;378829;7292581;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;15.07.13;;0.00;0.00;k
Naantali;1000019428;Krampinrauma;;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;222178;6693861;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;23.01.12;;0.00;0.00;k
Pori;1000018120;Norra-Sverige;historiallinen;alusten hylyt;hylyt (metalli);kiinteä muinaisjäännös;195716;6835627;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;02.02.11;;0.00;0.00;k
Helsinki;1000018060;Kruunuvuorenselkä 1;;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;388329.408;6671562.235;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;19.01.11;28.01.11;0.00;0.00;k
Hanko;1000022608;Smultrongrundet;historiallinen;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;273795;6637706;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;16.09.14;;0.00;0.00;k
Helsinki;1000018063;Rysäkari 2;;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;379665.925;6664954.849;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;20.01.11;28.01.11;0.00;0.00;k
Porvoo;1000018016;Pirttisaari Lillhället;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;412526.678;6670811.658;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;18.01.11;28.01.11;0.00;0.00;k
Kouvola;1000018017;Vilppulan lauttavalkama 2;;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;481827.435;6744889.183;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;18.01.11;28.01.11;0.00;0.00;k
Inkoo;1437;Själö;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;328139;6648893;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;05.02.13;;0.00;0.00;k
Inkoo;1428;Skämmö 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;331308;6656437;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;05.02.13;;0.00;0.00;k
Parainen;1579;Olofsnäs;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;198631;6688107;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;14.05.12;;0.00;0.00;k
Hanko;2672;Stora Tärnan;historiallinen;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;273619.728;6631500.754;11002;3;ilmoittajan antama sijainti;Ei;02.07.10;28.01.11;0.00;0.00;k
Tammela;1000019109;Heinijärvi;;alusten hylyt;ruuhet;löytöpaikka;322940;6754614;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;22.09.11;;0.00;0.00;k
Inkoo;1429;Sumpgrund;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;328940;6651524;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;05.02.13;;0.00;0.00;k
Hamina;2506;Puhos;ei määritelty;alusten hylyt;ei määritelty;muu kohde;522260.441;6685131.433;11003;0;Kohde on merkitty merikarttaan, koordinaatit määritelty Kansalaisen karttapaikan avulla;Ei;08.05.07;28.01.11;0.00;0.00;k
Hanko;2673;A 37;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;272454.183;6634148.684;11002;2;;Ei;02.07.10;28.01.11;0.00;0.00;k
Helsinki;2680;Kaivopuisto 2;historiallinen;alusten hylyt;hylyt (puu);muu kohde;386581.118;6670187.779;11001;1;;Ei;29.07.10;28.01.11;0.00;0.00;k
Kemi;1874;G.R.Berg;historiallinen;alusten hylyt;hylyt (puu);muu kohde;386251.858;7283013.409;11003;3;;Ei;22.06.10;28.01.11;0.00;0.00;k
Parainen;2634;Kårharun hylyn osat;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;180948.9;6641147.392;11004;3;;Ei;29.10.09;28.01.11;0.00;0.00;k
Mustasaari;2641;Fändrik Stål;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;181820.79;7027746.239;11004;3;;Ei;08.01.10;28.01.11;0.00;0.00;k
Lappeenranta;2587;Huiperonsaaret;ei määritelty;alusten hylyt;hylyt (metalli);muu kohde;569038.193;6773160.2;0;2;;Ei;12.03.09;28.01.11;0.00;0.00;k
Rauma;2485;Ulko-Petäjäs;historiallinen;alusten hylyt;hylyt (puu);muu kohde;199815.583;6790503.523;11002;0;Paikannettu ilmoittajan antamien koordinaattien mukaan, jotka saatu viistokaikuotauksen yhteydessä.;Ei;27.10.06;28.01.11;0.00;0.00;k
Helsinki;2679;Kaivopuisto 3;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;386718.063;6670244.757;11001;1;;Ei;29.07.10;28.01.11;0.00;0.00;k
Helsinki;1296;Valkosaari;ei määritelty;alusten hylyt;ei määritelty;muu kohde;387184.871;6671019.448;11002;1;;Ei;30.07.10;28.01.11;0.00;0.00;k
Luumäki;2628;Jurvalanselkä 1;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;540848.615;6757810.254;11000;0;;Ei;08.10.09;28.01.11;0.00;0.00;k
Kustavi;2637;Kaurissalo Pleikilänviikki;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;186463.212;6733960.16;11002;3;;Ei;20.01.10;28.01.11;0.00;0.00;k
Loviisa;2619;Riilahti;ei määritelty;alusten hylyt;hylyt (metalli);muu kulttuuriperintökohde;463662.134;6664314.526;0;0;;Ei;21.08.09;28.01.11;0.00;0.00;k
Pori;2622;Kallonlahti;historiallinen;alusten hylyt;hylyt (puu);poistettu kiinteä muinaisjäännös (ei rauhoitettu);206871.513;6841372.139;11001;0;;Ei;15.09.09;28.01.11;0.00;0.00;k
Vaasa;2579;Palosaari länsipuoli;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;226763.825;7009312.809;0;0;;Ei;16.09.09;28.01.11;0.00;0.00;k
Mustasaari;1800;Shakespeare;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;178017.316;7027870.174;11004;3;;Ei;08.01.10;28.01.11;0.00;0.00;k
Pori;2592;Uusikari;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;202380.276;6850265.548;11002;0;;Ei;22.04.09;28.01.11;0.00;0.00;k
Närpiö;1785;Kaj Hvilsom;historiallinen;alusten hylyt;ei määritelty;muu kohde;192379.837;6955914.104;11003;3;ilmoittajan antamat koordinaatit;Ei;24.06.09;28.01.11;0.00;0.00;k
Mustasaari;2561;Skutskär;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;224402.719;7022212.62;11003;0;epätarkka paikkatieto, paikannettu sanallisen selostuksen mukaan kansalaisen karttapaikan avulla;Ei;02.05.08;28.01.11;0.00;0.00;k
Mustasaari;2566;Truthällan;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;226142.001;7029232.815;11004;0;epätarkka paikkatieto, paikannettu ilmoittajan antamien koordinaattien mukaan Kansalaisen karttapaikan avulla;Ei;15.05.08;28.01.11;0.00;0.00;k
Heinola;2543;Hirvilampi;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;460916.629;6793793.406;11002;0;paikannettu maakuntamuseon lähettämän karttapiirroksen mukaan kansalaisen karttapaikan avulla, löytöpaikkatieto ei aivan tarkka;Ei;21.01.08;28.01.11;0.00;0.00;k
Närpiö;2509;Klobbskatan;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;208267.578;6927418.608;11001;0;Kohde paikannettu tarkistuskäynnin yhteydessä meriarkeologian yksikön GPS:llä.;Ei;23.05.07;28.01.11;0.00;0.00;k
Hanko;2470;Skallotholmen;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;290006.107;6638672.955;11002;0;Koordinaatit otettu tarkistussukelluksen yhteydessä meriarkeologian yksikön Garmin 76 -GPS:llä.;Ei;08.04.05;28.01.11;0.00;0.00;k
Loppi;2495;Iso-Melkutin;ajoittamaton;alusten hylyt;ruuhet;löytöpaikka;340499.319;6737010.687;11003;0;Paikannettu ilmoittajan antamien koordinaattien perusteella, jotka eivät ole aivan yksiselitteiset hänen sanallisen selostuksensa kanssa.;Ei;10.01.07;28.01.11;0.00;0.00;k
Hartola;2437;Oravakivensalmi;historiallinen;alusten hylyt;ei määritelty;muu kohde;450554.575;6842612.721;11002;0;Paikannettu ilmoittajan sanallisen selostuksen perusteella.;Ei;07.02.05;28.01.11;0.00;0.00;k
Kauniainen;2443;Gallträsk;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;374365.991;6677835.643;11003;0;Ruuhi on nostettu Gallträsk-järven eteläosasta Kavallintie 22 tontin kohdalta. Paikannettu sanallisen kuvauksen perusteella.;Ei;09.02.05;28.01.11;0.00;0.00;k
Kalajoki;2451;Kalajoki avomeri;ei määritelty;alusten hylyt;ei määritelty;muu kohde;351113.411;7141525.163;11003;0;Paikannettu merikortille merkityn löytöpaikan mukaan.;Ei;11.02.05;28.01.11;0.00;0.00;k
Inkoo;2421;Kopparnäs Klobbacka;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;347862.74;6659621.835;11002;0;Paikannettu ilmoittajan tekemän tutkimusraportin WGS-84 koordinaattien ja sijaintikartan avulla;Ei;04.02.05;28.01.11;0.00;0.00;k
Kokkola;2427;Frimodigsgrundet;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;304143.472;7084832.772;11002;0;Paikannettu ilmoittajan antamien koordinaattien ja sanallisen kuvauksen perusteella.;Ei;07.02.05;28.01.11;0.00;0.00;k
Eurajoki;2595;Bolheim;historiallinen;alusten hylyt;hylyt (metalli);muu kulttuuriperintökohde;185174.286;6827342.671;11004;0;;Ei;24.04.09;28.01.11;0.00;0.00;k
Eurajoki;2596;Achill;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;177900.195;6829437.797;11004;0;;Ei;24.04.09;28.01.11;0.00;0.00;k
Kotka;2602;Eteläinen Kuosankari;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;506216.852;6695504.179;0;0;;Ei;08.07.09;28.01.11;0.00;0.00;k
Valkeakoski;2604;Apianlahti 2;historiallinen;alusten hylyt;hylyt (puu);muu kohde;341607.596;6796232.883;0;0;;Ei;09.07.09;28.01.11;0.00;0.00;k
Pori;2529;Eteläselkä;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;206514.645;6844033.067;11002;0;Paikannetty ilmoittajan koordinaattien mukaan Kansalaisen karttapaikan avulla.;Ei;19.09.07;28.01.11;0.00;0.00;k
Hanko;2535;Russarö pohjoispuoli 1;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;272346.229;6633572.915;11002;0;paikannettu löytäjän ilmoittamien koordinaattien mukaan kansalaisen karttapaikan avulla;Ei;03.12.07;28.01.11;0.00;0.00;k
Närpiö;2510;Våtungsvikenin hylky;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;208081.659;6925951.191;11001;0;Paikannettu tarkastuskäynnin yhteydessä meriarkeologian yksikön GPS:llä;Ei;24.05.07;28.01.11;0.00;0.00;k
Kuopio;2416;Öljysatama 2;ei määritelty;alusten hylyt;ei määritelty;muu kohde;534958.083;6972218.904;11001;0;Paikannettu MKL:n merenmittausyksikön ilmoittamien koordinaattien perusteella.;Ei;04.02.05;28.01.11;0.00;0.00;k
Raasepori;2439;Ängesholmenin hylky;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;319513.188;6650652.294;11004;0;paikannettu epämääräisen sanallisen kuvauksen perusteella kansalaisen karttapaikan avulla, hyvin epätarkka paikkatieto;Ei;08.02.05;28.01.11;0.00;0.00;k
Espoo;2370;Nuuksio Vuohilampi;ei määritelty;alusten hylyt;ruuhet;kiinteä muinaisjäännös;362461.759;6682746.612;11001;0;Paikannettu tarkastussukelluksen yhteydessä otettujen GPS-koordinaattien ja kartan perusteella.;Ei;01.12.04;28.01.11;0.00;0.00;k
Espoo;2373;Sorlammen ruuhi 1;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;368037.513;6682524.729;11002;0;Paikannettu ilmoittajan karttaliitteen perusteella.;Ei;01.12.04;28.01.11;0.00;0.00;k
Porvoo;2380;T-54 Kljuz;historiallinen;alusten hylyt;hylyt (metalli);muu kulttuuriperintökohde;416023.363;6652117.2;11001;0;Paikannettu MKL:n Merenmittaustoimiston ilmoittamien koordinaattien perusteella.;Ei;01.12.04;28.01.11;0.00;0.00;k
Kemi;2269;Möllärinranta;historiallinen;alusten hylyt;hylyt (puu);muu kohde;388518.923;7291771.897;11002;0;Paikannettu kartalta kirjallisen kuvauksen perusteella, paikkatieto ei ole tarkka.;Ei;08.11.04;28.01.11;0.00;0.00;k
Vihti;2275;Ruuhijärven ruuhi 2;ei määritelty;alusten hylyt;ruuhet;kiinteä muinaisjäännös;365392.545;6688979.117;11002;0;Paikannettu ilmoittajan karttapiirroksen perusteella.;Ei;08.11.04;28.01.11;0.00;0.00;k
Turku;2285;Pikisaari 2;historiallinen;alusten hylyt;hylyt (puu);löytöpaikka;236058.42;6708991.433;11002;0;Rantaan ajautuneen kappaleen paikka määritelty kartan perusteella.;Ei;10.11.04;28.01.11;0.00;0.00;k
Raasepori;2667;Jussarö 6;ei määritelty;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;307624.578;6637703.06;0;0;;Ei;09.06.10;28.01.11;0.00;0.00;k
Raasepori;2666;Jussarö 5;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;307873.598;6637669.514;11001;2;;Ei;09.06.10;28.01.11;0.00;0.00;k
Savonlinna;2635;Kaupinsaari 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;599793.428;6859968.368;0;0;;Ei;30.10.09;28.01.11;0.00;0.00;k
Mustasaari;2568;Hattören;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;233789.907;7034828.593;0;0;;Ei;30.09.09;28.01.11;0.00;0.00;k
Lappeenranta;2589;Mertaniemi 2;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;563258.386;6772100.611;11003;3;Löytöilmoituksen mukana tullut karttaliite;Ei;13.03.09;28.01.11;0.00;0.00;k
Hanko;1394;Märaskär;historiallinen;alusten hylyt;hylyt (puu);muu kohde;274149.481;6638044.128;11002;0;Paikannettu ilmoituksen karttaliitteen mukaan (12.11.2001 tnurmine);Ei;09.04.09;28.01.11;0.00;0.00;k
Närpiö;1784;Suola-alus;historiallinen;alusten hylyt;ei määritelty;muu kohde;192564.781;6951416.909;11002;3;ilmoittajan antamat koordinaatit;Ei;24.06.09;28.01.11;0.00;0.00;k
Kemi;1873;Inakari;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;386318.83;7283375.264;11003;3;;Ei;22.06.10;28.01.11;0.00;0.00;k
Pori;2621;Iso-Enskeri;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;202560.195;6852126.802;11001;1;ilmoittajan antama GPS-sijainti;Ei;15.09.09;28.01.11;0.00;0.00;k
Raasepori;2627;Länsivallin hylkyalue;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;300656;6653691;0;0;;Ei;08.10.09;23.01.18;0.00;0.00;k
Hamina;2630;Avomeri itäinen Suomenlahti;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;529718.441;6684691.646;11002;1;;Ei;09.10.09;28.01.11;0.00;0.00;k
Mustasaari;2567;Iskmo Lillönin Malmbådan;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;226297.941;7027366.558;11004;0;epätarkka paikkatieto, paikannettu ilmoittajan antamien koordinaattien mukaan Kansalaisen karttapaikan avulla;Ei;15.05.08;28.01.11;0.00;0.00;k
Kemiönsaari;2540;Notön;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;249705.101;6676866.403;11003;0;paikannettu ilmoittajan antamien koordinaattien ja sanallisen selostuksen mukaan kansalaisen karttapaikan avulla;Ei;21.12.07;28.01.11;0.00;0.00;k
Valkeakoski;2603;Apianlahti 1;historiallinen;alusten hylyt;hylyt (puu);muu kohde;341570.611;6796217.889;0;0;;Ei;09.07.09;28.01.11;0.00;0.00;k
Joensuu;2571;Pitkälampi länsiranta;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;685640.489;6946043.036;11002;0;paikannettu ilmoittajan tekemän kartan mukaan kansalaisen karttapaikan avulla;Ei;26.06.08;28.01.11;0.00;0.00;k
Hanko;2473;Russarön luoteispuoli;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;271482.572;6634017.734;11002;0;;Ei;13.02.06;28.01.11;0.00;0.00;k
Merikarvia;2492;Haminaholma;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;212274.27;6857862.546;11002;0;Paikannettu ilmoittajan antamien koordinaattien mukaan Kansalaisen karttapaikan avulla;Ei;12.12.06;28.01.11;0.00;0.00;k
Kotka;2497;Kantasatama Kotkanlahti;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;498120.075;6703896.766;11001;0;Sijaintikoordinaatit saatu viistokaikartoituksen tuloksena 2006;Ei;07.02.07;28.01.11;0.00;0.00;k
ei kuntatietoa;2500;Avomerihylky;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;453056.481;6649304.515;11002;0;Merenkulkulaitoksen ilmoittamat koordinaatit.;Ei;13.04.07;28.01.11;0.00;0.00;k
ei kuntatietoa;2501;Ulf Jarl;historiallinen;alusten hylyt;ei määritelty;muu kulttuuriperintökohde;442850.589;6648686.711;11002;0;Merenkulkulaitoksen ilmoittamat koordinaatit.;Ei;13.04.07;28.01.11;0.00;0.00;k
Espoo;2369;Ruuhijärven ruuhi 1;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;366122.253;6688779.195;11002;0;Paikannettu ilmoittajan karttaliitteen perusteella.;Ei;01.12.04;28.01.11;0.00;0.00;k
Parainen;2334;Severonia;historiallinen;alusten hylyt;hylyt (metalli);muu kulttuuriperintökohde;216556.658;6631047.638;11003;0;Paikannettu J. Sulkun kartan perusteella.;Ei;19.11.04;28.01.11;0.00;0.00;k
Siuntio;2238;Dyviken;ei määritelty;alusten hylyt;ei määritelty;muu kohde;350140.814;6662249.791;11001;0;Koordinaatit saatu cd-merikartalta.;Ei;08.07.04;28.01.11;0.00;0.00;k
Äänekoski;2164;Äänejärvi  2;historiallinen;alusten hylyt;ei määritelty;muu kohde;435040.404;6942624.426;11002;0;Paikannettu WGS84-koordinaattien mukaan;Ei;10.01.02;28.01.11;0.00;0.00;k
Lappeenranta;2168;Tallijärvi;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;551930.239;6738419.11;11002;0;Paikannettu karttaliitteen mukaan;Ei;10.01.02;28.01.11;0.00;0.00;k
Kokkola;2377;Svanen;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;303785;7086774;11002;0;Paikannettu ilmoittajan lähettämien GPS-koordinaattien perusteella.;Ei;01.12.04;29.09.17;0.00;0.00;k
Hanko;2328;Hangon proomu;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;273721.664;6636015.94;11001;0;Paikannettu J. Sulkun ilmoittamien GPS-koordinaattien ja kartan perusteella.;Ei;19.11.04;28.01.11;0.00;0.00;k
Hanko;2345;Snappoppslandet;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;266386.607;6636944.531;11003;0;Paikannettu J. Sulkun karttapiirroksen perusteella.;Ei;22.11.04;28.01.11;0.00;0.00;k
Kemiönsaari;2347;Lövö;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;247351.147;6657278.256;11002;0;Paikannettu J. Sulkun ilmoittamien koordinaattien ja kartan perusteella.;Ei;26.11.04;28.01.11;0.00;0.00;k
Parainen;2292;Östra Linsorin proomu;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;228215.664;6690664.749;11002;0;Paikannettu J. Kosken ilmoittamien GPS-koordinaattien perusteella.;Ei;10.11.04;28.01.11;0.00;0.00;k
Sastamala;2272;Majavesi;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;273930.551;6848723.488;11002;0;Paikannettu ilmoitettujen peruskarttakoordinaattien perusteella.;Ei;08.11.04;28.01.11;0.00;0.00;k
Lohja;2276;Kortalhonlahti;ajoittamaton;alusten hylyt;hylyt (puu);löytöpaikka;344104.099;6690822.272;11003;0;Paikannettu kartalle tehdyn merkinnän perusteella, tarkka sijainti ei selvillä.;Ei;08.11.04;28.01.11;0.00;0.00;k
Kokkola;2430;Törsören 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;304441.356;7083760.208;11002;0;Paikannettu ilmoittajan antamien koordinaattien ja sanallisen kuvauksen perusteella.;Ei;07.02.05;15.11.16;0.00;0.00;k
Helsinki;2286;Kaskisaari;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;381167.28;6672695.747;11001;0;Paikannettu tarkastussukelluksen yhteydessä otettujen GPS-koordinaattien (WGS-84: N 60 ast 10,428 E 24 ast 51,535) ja karttapiirroksen perusteella.;Ei;10.11.04;28.01.11;0.00;0.00;k
Parainen;2246;Airisto 2;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;228481.512;6699361.259;11001;0;Paikannettu MKL:n merenmittaustoimiston ilmoittamien koordinaattien ja tarkastussukelluskartan perusteella.;Ei;03.11.04;28.01.11;0.00;0.00;k
Parainen;2379;Kirjalansalmi 1;historiallinen;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;246917.097;6701931.317;11001;0;Paikannettu ilmoittajan antamien koordinaattitietojen ja kartan perusteella.;Ei;01.12.04;28.01.11;0.00;0.00;k
Hanko;2323;FinnPusku ja Baltic;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;274884.197;6636637.698;11002;0;Paikannettu J. Sulkun ilmoittamien koordinaattien ja kartan perusteella.;Ei;19.11.04;28.01.11;0.00;0.00;k
Hanko;2324;Medönin purjevene;historiallinen;alusten hylyt;hylyt (puu);muu kohde;273563.682;6644756.427;11002;0;Paikannettu J. Sulkun ilmoittamien koordinaattien ja kartan perusteella.;Ei;19.11.04;28.01.11;0.00;0.00;k
Kemiönsaari;2298;Stora Rödskär 1;historiallinen;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;244882.282;6630016.196;11002;0;Paikannettu ilmoittajan karttaliitteen ja koordinaattitietojen perusteella.;Ei;10.11.04;28.01.11;0.00;0.00;k
Sastamala;2265;Sorvijärvi;ei määritelty;alusten hylyt;ruuhet;muu kohde;286285.728;6817434.112;11003;0;Paikannettu kartalta sanallisen kuvauksen perusteella.;Ei;05.11.04;28.01.11;0.00;0.00;k
Parainen;2271;Rödjeträsket;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;237308.981;6697075.228;11002;0;Paikannettu kartalta 1964 laaditun löytöpiirroksen mukaan.;Ei;08.11.04;28.01.11;0.00;0.00;k
