Kunta,C,100;Mjtunnus,N,10,0;Kohdenimi,C,100;Ajoitus,C,254;Tyyppi,C,100;Alatyyppi,C,100;Laji,C,100;I,N,31,15;P,N,31,15;Paikannust,N,10,0;Paikannu00,N,10,0;Selite,C,254;Tuhoutunut,C,100;Luontipvm,D;Muutospvm,D;Zala,N,14,2;Zylä,N,14,2;Vedenalain,C,1
Hanko;1416;Smörstenin hylky;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;267388.188;6639345.571;11003;0;Paikannettu ilmoituksen karttaliitteen mukaan (tieto paikasta tullut ilmoittajille välikäsien kautta, ja paikkatieto ilmoittajien mukaan summittainen);Ei;13.11.01;28.01.11;0.00;0.00;k
Helsinki;1362;Iso Mustasaari 1A;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;388536.337;6669504.067;11002;0;Paikannettu karttaliitteen mukaan;Ei;08.11.01;28.01.11;0.00;0.00;k
Raasepori;1483;Djupviken;ei määritelty;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;277008.179;6667651.245;11002;0;Paikannettu ilmoittajan karttaliitteen mukaan;Ei;16.11.01;28.01.11;0.00;0.00;k
Raasepori;1488;Södra viken 2;historiallinen;alusten hylyt;hylyt (puu);poistettu kiinteä muinaisjäännös (ei rauhoitettu);300866.665;6653550.037;11003;0;Paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot;Ei;16.11.01;28.01.11;0.00;0.00;k
Hanko;1419;Hamnholmen;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;271644.475;6640340.191;11003;0;Paikannettu karttaliitteen mukaan, epätarkat paikkatiedot;Ei;13.11.01;28.01.11;0.00;0.00;k
Hanko;1387;Kadermo;historiallinen;alusten hylyt;hylyt (puu);muu kohde;279577.256;6646840.618;11002;0;Paikannettu ilmoituksen piirroskartan mukaan;Ei;12.11.01;28.01.11;0.00;0.00;k
Hanko;1388;Hoffnung;historiallinen;alusten hylyt;ei määritelty;muu kohde;281155.707;6630415.227;11004;0;Paikannettu karttaliitteen mukaan, epätarkat paikkatiedot;Ei;12.11.01;28.01.11;0.00;0.00;k
Hanko;1351;Andalskären 2;historiallinen;alusten hylyt;ei määritelty;muu kulttuuriperintökohde;276729.455;6636686.689;11002;0;Paikannettu Kaarinan sukeltajat ry/Jarkko Rastas kartan (1998) mukaan;Ei;07.11.01;28.01.11;0.00;0.00;k
Porvoo;1359;Gunvor;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;425333.551;6665283.943;11001;0;merkitty peruskarttaan;Ei;07.11.01;28.01.11;0.00;0.00;k
Helsinki;1331;Käärmeluodot 2;historiallinen;alusten hylyt;ei määritelty;muu kohde;380590.532;6669653.962;11002;0;Paikannettu karttaliitteen mukaan;Ei;06.11.01;28.01.11;0.00;0.00;k
Helsinki;1290;Ryssänsaari;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;387424.778;6670999.453;11002;0;Paikannettu Matias Laitisen inventoinnin kartan mukaan;Ei;05.11.01;28.01.11;0.00;0.00;k
Mustasaari;1802;Sandbanken;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;180022.512;7028870.783;11003;0;epätarkka paikkatieto, paikannettu ilmoittajan piirtämän ylimalkaisen kartan mukaan kansalaisen karttapaikan avulla;Ei;04.12.01;28.01.11;0.00;0.00;k
Kaskinen;1772;Bockholmshällan;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;200537.703;6923068.316;11002;0;Paikannettu karttaliitteen mukaan;Ei;03.12.01;28.01.11;0.00;0.00;k
Pori;1735;Munakari;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;203091.971;6853521.245;11002;0;Karttaliitteen mukaan  paikannettu;Ei;29.11.01;28.01.11;0.00;0.00;k
Uusikaupunki;1703;Häpönniemi;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;194027.081;6753803.229;11003;0;Paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot;Ei;28.11.01;09.10.15;0.00;0.00;k
Eurajoki;1712;Kuivalahti;historiallinen;alusten hylyt;hylyt (puu);muu kohde;205475.23;6806871.985;11002;0;Paikannettu karttaliitteen mukaan;Ei;28.11.01;28.01.11;0.00;0.00;k
